wait_open,n
,63
__NA__,51420
@75 minutes,1
1 1./2 hours,1
1 1/2,1
1 1/2 hours,1
1 1/2 hrs,1
1 1/4 hour,1
1 1/4 hours,1
1 30,1
1 30mins,1
1 and 10 minutes,1
1 and a half,1
1 and half,1
1 he 15 min,1
1 hour & 22 Min,1
1 hour 10 minutes,3
1 hour 15,1
1 hour 15 mins,1
1 hour 15 minutes,5
1 hour 20 minutes,4
1 hour 20minutes,1
1 hour 22 minutes,1
1 hour 30 min,1
1 hour 30 minutes,2
1 hour 45 mins,1
1 hour 45 minutes,5
1 hour 50 minutes,1
1 hour 55 minutes,1
1 hour and 20 minutes,1
1 hour and 22 minutes,1
1 hour and 30 minutes,2
1 hour and 35 minutes,1
1 hour and 45 minutes,2
1 hour and fifteen minutes,1
"1 hour, 15 min.",1
1 hr 10 minutes,1
1 hr 15min,1
1 hr 25 min,1
1 hr 30 minutes,2
1 hr and 30 minutes,1
1 hr in half,1
1 hr. 20 minutes,1
1 hr. 45 min.,1
1;45,1
1:01,1
1:10,3
1:15,4
1:20,1
1:30,1
1:45,2
1..5 hours,1
1.25,1
1.25 hours,4
1.3,1
1.30,1
1.45,1
1.5,5
1.5 hour,2
1.5 hours,28
1.5 hrs,4
1.5hr,1
1.5hrs,1
1.75 hr,1
120,1
120 mins,1
130 minutes,1
135 minutes,1
1hr 15min,1
1hr 20 min,1
1hr 20 mins,1
1hr 45 min,1
1hr 45min,1
1hr 5min,1
2,15
2 1/2 hours,3
2 1/2 if not more no more early vote for me,1
2 hours,36
2 Hours,1
2 HOURS,1
2 hours 41 minutes,1
2 hours 5 minutes,1
2 hours and 10 minutes,1
2 hpurs,1
2 hr,1
2 hrs,1
2:45,1
2.25 hours,2
2.5,4
2.5 hours,4
2.5 Hours,1
240,1
2hours,2
2hrs,1
2hrs 20min,1
2hrs 45mins,1
3,7
3 1/2 hours,1
3 hours,6
3 hours.,1
3 hrs,2
3+ hours,1
3hour,1
4,1
4 hours,3
5 hours,1
65 minutes,4
69 minutes,1
70 min,1
70 mins,1
70 minutes,10
75 min,1
75 minutes,9
80 min,1
80 minutes,5
85 minutes,2
90,3
90 min,2
90 mins,1
90 minutes,22
95 minutes,1
A little over 2 hours,1
A little something over two hours,1
About 1 and a half hours,1
about 2 hours and 15 minutes,1
About 2.5-3 hours,1
about 2hrs in heat/we could have lined inside halls like befor,1
about 3 hours,1
about 75 minutes,1
about 90 minutes,1
About a hour and a half,1
Almost 2 hrs.,1
An 1hr and 30 mins,1
an hour and half,1
Approx. 2 hours,1
Hour 45 min,1
Hour and a half,1
just over an hour,1
machine broke had to come back,1
One and a half hours,1
one and half hours,1
one hour fifteen minutes,1
one hour ten minutes,1
Over 2 hours,1
